1,6c6d7425-be47-4818-bc38-809c424b45e2,08080117-1126-0626-0000-e0f263bbc960,48105a9b-dab1-4f3f-81bb-f45f7a371e5c,2026-08-08T12:31:10.794901+10:00
Most popular comprehensive car insurance in Australia
Tables found: 1
| Insurer | 2025 customer satisfaction* | Best known for |
|---|---:|---|
| **RAA** | 91% | South Australia; very high satisfaction |
| **RACQ** | 85% | Queensland; strong customer satisfaction |
| **Youi** | 77% | Personalised pricing/service |
| **RAC** | 77% | Western Australia |
| **GIO** | 75% | Large mainstream insurer |
| **Shannons** | 74% | Enthusiast/classic cars |
| **NRMA Insurance** | 72% | Large national presence |
| **Woolworths Everyday** | 71% | Competitive mainstream option |
| **AAMI** | 62% | Very large, established insurer |
| **Budget Direct** | 62% | Often competitive on price |
| **Allianz** | 61% | Large international insurer |
End Of Line
