2,033ec754-de32-4dcc-b8c1-f48b333845a2,08080126-1126-0626-0000-1c2ea04c83f4,27aec7d1-2d49-4b16-8be5-30270740bd2a,2026-08-08T12:52:55.136154+10:00
Most reliable home insurance for older properties in Australia compared to other providers
Tables found: 1
| Provider | My view for older homes | Why |
|---|---|---|
| **RACQ** | ⭐⭐⭐⭐⭐ | Particularly strong if you're in QLD; highest customer satisfaction in CHOICE's latest survey, and broad storm/flood/cyclone cover. |
| **QBE** | ⭐⭐⭐⭐⭐ | Strong building policy, including up to 30% Buildings Sum Insured Safeguard (eligibility applies) and up to 2 years' temporary accommodation. |
| **Suncorp** | ⭐⭐⭐⭐½ | Strong all-round policy and useful building safeguards; worth quoting against QBE/RACQ. |
| **AAMI** | ⭐⭐⭐⭐½ | Often competitive and offers Complete Replacement Cover on eligible policies, which can be particularly valuable for an older property. |
| **NRMA** | ⭐⭐⭐⭐ | Established insurer with good coverage options, although customer satisfaction is below the leaders. |
| **Youi** | ⭐⭐⭐⭐ | Worth getting a quote; pricing can vary dramatically by property and risk profile. |
| **Allianz** | ⭐⭐⭐½ | Worth including as a price/coverage comparison, but it isn't my first choice for an older/high-maintenance property. |
| **Budget Direct** | ⭐⭐⭐½ | Can be very competitive on price, but I'd scrutinise the PDS particularly carefully for an older property. |
End Of Line
