2,0ab65cbe-dd82-4f04-bcd8-4f29c73f6c8f,08080126-1126-0626-0000-dfbc236fa672,9110e5bb-f4c6-4bf3-b5e5-d99c94e708c1,2026-08-08T12:51:15.461604+10:00
Most popular home insurance for landlords in Australia compared to other providers
Tables found: 1
| Provider | Type | Reputation / position | Best suited to |
|---|---|---|---|
| **Terri Scheer** | Specialist | One of the best-known dedicated landlord insurers; frequently recommended | Landlords prioritising tenant/rent protection |
| **EBM RentCover** | Specialist | Very large specialist; says it insures ~155,000 rental properties | Investors wanting specialist landlord coverage |
| **QBE** | Major insurer | **2026 Canstar Outstanding Value** for Building & Contents; QBE says it has won 4 years running | Strong all-round option |
| **AAMI** | Major insurer | **2026 Canstar Outstanding Value** in several categories | Price/value and bundling |
| **Suncorp** | Major insurer | 2026 Canstar Outstanding Value for Contents | Existing Suncorp customers / competitive pricing |
| **Allianz** | Major insurer | Major national insurer with landlord options | Bundling and mainstream insurance |
| **GIO** | Major insurer | Popular general insurer offering landlord cover | Price/coverage comparison |
| **Budget Direct** | Direct insurer | Often competitive on price | Cost-conscious landlords |
End Of Line
